year,country,name,position,height_cm,weight_kg,birth_year,bmi
2001,lat,pantelejevs gregorijs,NA,175,83,1972,27.102040816326532
2001,lat,tambijevs leonids,NA,177,80,1970,25.53544639152223
2001,lat,zoltoks sergejs,NA,192,93,1972,25.227864583333336
2001,lat,vitolins harijs,NA,191,96,1968,26.315068117650284
2001,lat,kercs aleksandrs,NA,176,83,1967,26.794938016528928
2001,lat,abols artis,NA,185,86,1973,25.127830533235937
2001,lat,semjonovs aleksandrs,NA,179,80,1972,24.968009737523797
2001,lat,cipruss aigars,NA,175,78,1972,25.46938775510204
2001,lat,fanduls vyacheslav,NA,179,79,1969,24.65590961580475
2001,lat,belavskis aleksandrs,NA,180,83,1964,25.61728395061728
2001,lat,irbe arturs,NA,175,82,1967,26.77551020408163
2001,lat,naumovs sergejs,NA,179,79,1969,24.65590961580475
2001,nor,norstebo svein enok,NA,179,86,1972,26.840610467838083
2001,nor,knold martin,NA,178,77,1976,24.30248705971468
2001,nor,nilsen johnny,NA,183,85,1975,25.38146854190928
2001,nor,trygg mats,NA,179,80,1976,24.968009737523797
2001,nor,wold ketil,NA,183,93,1972,27.77031263997133
2001,nor,sorlie bard,NA,180,85,1977,26.234567901234566
2001,nor,sellgren martin,NA,192,101,1979,27.39800347222222
2001,nor,fjeld morten,NA,178,76,1976,23.98687034465345
2001,nor,vesterheim stig,NA,174,81,1975,26.7538644470868
2001,nor,trygg marius,NA,177,79,1976,25.2162533116282
2001,nor,johnsen pal,NA,180,83,1976,25.61728395061728
2001,nor,magnussen trond,NA,175,82,1973,26.77551020408163
2001,nor,fredriksen anders,NA,178,80,1981,25.24933720489837
2001,nor,ask morten,NA,186,89,1980,25.725517400855587
2001,nor,nygard kjell,NA,179,85,1978,26.528510346119035
2001,nor,vikingstad tore,NA,191,93,1975,25.492722238973712
2001,nor,svendsberget geir,NA,185,92,1974,26.880934989043094
2001,nor,martinsen tommy,NA,181,80,1976,24.41927902078691
2001,nor,dahl jan morten,NA,185,82,1973,23.959094229364496
2001,nor,hansen mads,NA,184,85,1978,25.10633270321361
2001,nor,norgren jonas,NA,172,72,1972,24.337479718766904
2001,nor,josefsen bjorge,NA,187,84,1976,24.021275987303035
2001,nor,wold vidar,NA,187,85,1974,24.307243558580453
2001,sui,steinegger martin,NA,187,87,1972,24.879178701135288
2001,sui,bezina goran,NA,190,99,1980,27.42382271468144
2001,sui,keller olivier,NA,190,95,1971,26.315789473684212
2001,sui,salis edgar,NA,191,98,1970,26.863298703434666
2001,sui,vauclair julien,NA,184,90,1979,26.583175803402646
2001,sui,seger mathias,NA,181,84,1977,25.640242971826257
2001,sui,sutter patrik,NA,175,79,1970,25.79591836734694
2001,sui,streit mark,NA,183,88,1977,26.27728507868255
2001,sui,della rossa patric,NA,186,94,1975,27.170771187420502
2001,sui,demuth alain,NA,180,86,1979,26.54320987654321
2001,sui,crameri gian-marco,NA,177,76,1972,24.25867407194612
2001,sui,aeschlimann j-j,NA,185,86,1967,25.127830533235937
2001,sui,zeiter michel,NA,187,94,1974,26.88095170007721
2001,sui,pluss martin,NA,173,81,1977,27.064051588760066
2001,sui,jenni marcel,NA,180,82,1974,25.30864197530864
2001,sui,jeannin sandy,NA,180,80,1976,24.69135802469136
2001,sui,reichert marc,NA,189,101,1980,28.274684359340444
2001,sui,ziegler thomas,NA,180,86,1978,26.54320987654321
2001,sui,riesen michel,NA,186,85,1979,24.56931437160365
2001,sui,conne flavien,NA,177,81,1980,25.854639471416256
2001,sui,buhrer marco,NA,179,78,1979,24.343809494085704
2001,sui,gerber martin,NA,178,79,1974,24.933720489837143
2001,sui,weibel lars,NA,185,90,1974,26.296566837107378
2001,svk,mezei branislav,NA,190,100,1980,27.70083102493075
2001,svk,droppa ivan,NA,191,98,1972,26.863298703434666
2001,svk,chara zdeno,NA,202,105,1977,25.732771296931674
2001,svk,strbak martin,NA,191,96,1975,26.315068117650284
2001,svk,lintner richard,NA,188,97,1977,27.44454504300589
2001,svk,pavlikovsky richard,NA,181,85,1975,25.945483959586092
2001,svk,sekeras lubomir,NA,184,74,1968,21.85727788279773
2001,svk,gaborik marian,NA,186,83,1982,23.991212856977683
2001,svk,somik radovan,NA,188,83,1977,23.48347668628339
2001,svk,orszagh vladimir,NA,180,90,1977,27.777777777777775
2001,svk,hossa marian,NA,183,86,1979,25.680074054167036
2001,svk,zednik richard,NA,180,90,1976,27.777777777777775
2001,svk,ciger zdenko,NA,182,80,1969,24.151672503320853
2001,svk,pardavy jan,NA,180,88,1971,27.160493827160497
2001,svk,nagy ladislav,NA,173,83,1979,27.732299776136855
2001,svk,hlinka miroslav,NA,186,98,1972,28.326974216672443
2001,svk,petrovicky robert,NA,178,78,1973,24.61810377477591
2001,svk,bartos peter,NA,184,81,1973,23.92485822306238
2001,svk,nedorost andrej,NA,185,80,1980,23.37472607742878
2001,svk,pucher peter,NA,185,93,1974,27.173119065010955
2001,svk,stana rastislav,NA,185,73,1980,21.32943754565376
2001,svk,rybar pavol,NA,180,85,1971,26.234567901234566
2001,svk,lasak jan,NA,183,90,1979,26.874496103198062
2001,swe,ohlund mattias,NA,188,100,1976,28.293345405160707
2001,swe,rohlin leif,NA,185,90,1968,26.296566837107378
2001,swe,nord bjorn,NA,183,86,1972,25.680074054167036
2001,swe,johnsson kim,NA,187,90,1976,25.737081414967538
2001,swe,tjarnqvist daniel,NA,188,88,1976,24.898143956541425
2001,swe,andersson peter,NA,183,90,1965,26.874496103198062
2001,swe,olsson christer,NA,180,88,1970,27.160493827160497
2001,swe,johansson andreas,NA,183,93,1973,27.77031263997133
2001,swe,axelsson per-johan,NA,185,80,1975,23.37472607742878
2001,swe,sedin daniel,NA,188,84,1980,23.76641014033499
2001,swe,sundin mats,NA,194,103,1971,27.367414177914764
2001,swe,sedin henrik,NA,190,89,1980,24.653739612188367
2001,swe,johansson mathias,NA,187,91,1974,26.023048986244955
2001,swe,olvestad jimmie,NA,184,87,1980,25.697069943289225
2001,swe,renberg mikael,NA,188,98,1972,27.727478497057493
2001,swe,zetterberg henrik,NA,182,84,1980,25.359256128486894
2001,swe,jonsson jorgen,NA,184,88,1972,25.99243856332703
2001,swe,huselius kristian,NA,187,81,1978,23.163373273470786
2001,swe,salomonsson andreas,NA,184,85,1973,25.10633270321361
2001,swe,alfredsson daniel,NA,182,89,1972,26.86873565994445
2001,swe,modin fredrik,NA,193,100,1974,26.84635829149776
2001,swe,ottosson kristofer,NA,179,85,1976,26.528510346119035
2001,swe,hadelov andreas,NA,180,78,1975,24.074074074074073
2001,swe,tellqvist mikael,NA,180,79,1979,24.382716049382715
2001,swe,salo tommy,NA,182,79,1971,23.849776597029344
2001,ukr,shyryayev valeriy,NA,183,91,1963,27.173101615455817
2001,ukr,ostroushko artem,NA,187,90,1974,25.737081414967538
2001,ukr,klymentiev sergii,NA,183,89,1975,26.575890590940304
2001,ukr,zavalnyuk vyacheslav,NA,181,90,1974,27.47168889838527
2001,ukr,polkovnikov oleg,NA,185,90,1973,26.296566837107378
2001,ukr,savitskyy oleksandr,NA,180,87,1971,26.85185185185185
2001,ukr,shakhraichuk vadim,NA,189,94,1974,26.315052770079227
2001,ukr,liutkevych vitalii,NA,184,80,1980,23.629489603024577
2001,ukr,lytvynenko vitaliy,NA,182,88,1970,26.56683975365294
2001,ukr,oletskyy valentyn,NA,176,82,1971,26.47210743801653
2001,ukr,savenko bogdan,NA,187,93,1974,26.59498412879979
2001,ukr,protsenko borys,NA,182,87,1978,26.26494384736143
2001,ukr,lazarenko oleksiy,NA,183,89,1976,26.575890590940304
2001,ukr,salnikov roman,NA,185,89,1976,26.004382761139514
2001,ukr,matviychuk olexandr,NA,176,79,1975,25.50361570247934
2001,ukr,kasyanchuk kostyantyn,NA,183,83,1979,24.78425751739377
2001,ukr,sryubko andriy,NA,189,93,1975,26.035105400184765
2001,ukr,bobrovnikov vasyl,NA,175,79,1971,25.79591836734694
2001,ukr,khristich dmytro,NA,186,94,1969,27.170771187420502
2001,ukr,slivchenko vadym,NA,180,85,1970,26.234567901234566
2001,ukr,simchuk kostyantyn,NA,186,89,1974,25.725517400855587
2001,ukr,karpenko igor,NA,173,80,1976,26.729927495071667
2001,ukr,seliverstov vadym,NA,177,74,1981,23.620287912158062
2001,usa,weinrich eric,NA,187,97,1966,27.738854413909458
2001,usa,eaton mark,NA,189,93,1977,26.035105400184765
2001,usa,gill hal,NA,202,109,1975,26.71306734633859
2001,usa,hedican bret,NA,189,93,1970,26.035105400184765
2001,usa,tanabe david,NA,187,91,1980,26.023048986244955
2001,usa,housley phil,NA,179,84,1964,26.216410224399983
2001,usa,quint deron,NA,189,99,1976,27.714789619551524
2001,usa,legwand david,NA,189,84,1980,23.515579071134628
2001,usa,gionta brian,NA,171,75,1979,25.64891761567662
2001,usa,hendrickson darby,NA,187,88,1972,25.165146272412706
2001,usa,halpern jeff,NA,187,91,1976,26.023048986244955
2001,usa,brown doug,NA,178,84,1964,26.511804065143288
2001,usa,connolly tim,NA,184,84,1981,24.8109640831758
2001,usa,knuble mike,NA,194,99,1972,26.304601976830696
2001,usa,plante derek,NA,182,83,1971,25.057360222195385
2001,usa,parrish marc,NA,182,87,1977,26.26494384736143
2001,usa,wilson landon,NA,189,98,1975,27.434842249657063
2001,usa,kraft ryan,NA,176,82,1975,26.47210743801653
2001,usa,darby craig,NA,191,91,1972,24.94449165318933
2001,usa,campbell jim,NA,189,93,1973,26.035105400184765
2001,usa,dipietro rick,NA,184,84,1981,24.8109640831758
2001,usa,miller ryan,NA,189,72,1980,20.15621063240111
2001,usa,esche robert,NA,184,85,1978,25.10633270321361
2002,rus,ryabykin dmitri,NA,188,95,1976,26.87867813490267
2002,rus,yudin alexander,NA,189,110,1971,30.794210688390585
2002,rus,zhukov sergei,NA,193,92,1975,24.69864962817794
2002,rus,vyshedkevich sergey,NA,185,93,1975,27.173119065010955
2002,rus,kalinin dmitri,NA,185,87,1980,25.420014609203797
2002,rus,bykov dmitri,NA,180,91,1977,28.086419753086417
2002,rus,volchenkov anton,NA,183,100,1982,29.860551225775623
2002,rus,guskov alexander,NA,189,92,1976,25.755158030290307
2002,rus,gusev sergey,NA,180,80,1975,24.69135802469136
2002,rus,zatonski dmitri,NA,172,80,1971,27.041644131963228
2002,rus,razin andrei,NA,181,83,1973,25.33500198406642
2002,rus,tkachenko ivan,NA,180,81,1979,25
2002,rus,savchenkov alexander,NA,174,80,1973,26.42356982428326
2002,rus,prokopiev alexander,NA,181,85,1971,25.945483959586092
2002,rus,antipov vladimir,NA,180,90,1978,27.777777777777775
2002,rus,butsayev vyacheslav,NA,187,98,1970,28.024821985186875
2002,rus,gusmanov ravil,NA,186,87,1972,25.14741588622962
2002,rus,lyashenko roman,NA,180,82,1979,25.30864197530864
2002,rus,sushinski maxim,NA,172,80,1974,27.041644131963228
2002,rus,karpov valeri,NA,178,92,1971,29.036737785633125
2002,rus,kovalenko andrei,NA,180,98,1970,30.24691358024691
2002,rus,afinogenov maxim,NA,181,83,1979,25.33500198406642
2002,rus,koznev alexei,NA,174,83,1975,27.414453692693883
2002,rus,chistov victor,NA,180,86,1972,26.54320987654321
2002,rus,podomatski egor,NA,176,76,1976,24.535123966942148
2002,rus,sokolov maxim,NA,180,78,1972,24.074074074074073
2002,aut,lukas robert,NA,177,82,1978,26.173832551310287
2002,aut,hohenberger martin,NA,186,93,1977,26.881720430107524
2002,aut,hohenberger herbert,NA,182,90,1969,27.17063156623596
2002,aut,lakos andre,NA,202,104,1979,25.487697284579944
2002,aut,unterluggauer gerhard,NA,177,88,1976,28.088991030674453
2002,aut,ulrich martin,NA,188,91,1969,25.746944318696244
2002,aut,lavoie joseph g d,NA,190,95,1967,26.315789473684212
2002,aut,sintschnig christian,NA,190,90,1975,24.930747922437675
2002,aut,brandner christoph,NA,195,98,1975,25.77251808021039
2002,aut,trattnig matthias,NA,185,95,1979,27.757487216946675
2002,aut,setzinger oliver,NA,183,92,1983,27.471707127713575
2002,aut,pock thomas,NA,184,89,1981,26.287807183364837
2002,aut,salfi kent,NA,176,82,1971,26.47210743801653
2002,aut,lukas philipp,NA,177,84,1979,26.812218711098343
2002,aut,konig christoph,NA,192,99,1979,26.85546875
2002,aut,schaden mario,NA,173,85,1972,28.40054796351365
2002,aut,szucs mark,NA,177,78,1976,24.897060231734173
2002,aut,kaspitz roland,NA,170,70,1981,24.221453287197235
2002,aut,perthaler christian,NA,183,90,1968,26.874496103198062
2002,aut,kalt dieter,NA,175,83,1974,27.102040816326532
2002,aut,suttnig michael,NA,178,76,1973,23.98687034465345
2002,aut,dalpiaz claus,NA,175,70,1971,22.857142857142858
2002,aut,prohaska gert,NA,190,90,1976,24.930747922437675
2002,can,brewer eric,NA,191,100,1979,27.411529289219047
2002,can,schlegel brad,NA,178,89,1968,28.089887640449437
2002,can,matvichuk richard,NA,188,98,1973,27.727478497057493
2002,can,patrick james,NA,191,91,1963,24.94449165318933
2002,can,mcgillis dan,NA,188,104,1972,29.425079221367135
2002,can,staios steve,NA,186,92,1973,26.59266967279454
2002,can,ference brad,NA,191,96,1979,26.315068117650284
